(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(-0.872558, -0.488511) (-0.042698, -0.999088) (-0.012809, -0.299726) (-0.261767, -0.146553) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(-0.877395, -0.479768) (-0.052679, -0.998612) (-0.015804, -0.299583) (-0.263219, -0.143930) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(-0.442777, -0.896632) (0.530347, -0.847781) (0.159104, -0.254334) (-0.132833, -0.268990) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(-0.069226, -0.997601) (0.812496, -0.582966) (0.243749, -0.174890) (-0.020768, -0.299280) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(-0.629306, -0.777157) (0.330697, -0.943737) (0.099209, -0.283121) (-0.188792, -0.233147) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(-0.884033, -0.467425) (-0.066669, -0.997775) (-0.020001, -0.299333) (-0.265210, -0.140227) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(0.221610, -0.975135) (0.946163, -0.323691) (0.283849, -0.097107) (0.066483, -0.292541) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
(0.185890, 0.982570) (-0.738420, 0.674341) (-0.221526, 0.202302) (0.055767, 0.294771) 
(-0.558385, -0.829582) (0.412562, -0.910930) (0.123769, -0.273279) (-0.167516, -0.248875) 
(0.324700, -0.945817) (-0.959252, -0.282551) (-0.287776, -0.084765) (0.097410, -0.283745) 
(0.696911, -0.717157) (0.976335, 0.216266) (0.292900, 0.064880) (0.209073, -0.215147) 
